...1,planet,metric,value
1,Mercury,diameter,4879
2,Mercury,distance_to_sun,57.9
3,Mercury,temperature,167
4,Venus,diameter,12104
5,Venus,distance_to_sun,108.2
6,Venus,temperature,464
7,Earth,diameter,12756
8,Earth,distance_to_sun,149.6
9,Earth,temperature,15
10,Mars,diameter,6792
11,Mars,distance_to_sun,227.9
12,Mars,temperature,-65
13,Jupiter,diameter,142984
14,Jupiter,distance_to_sun,778.55
15,Jupiter,temperature,-110
16,Saturn,diameter,120536
17,Saturn,distance_to_sun,1433.55
18,Saturn,temperature,-140
19,Uranus,diameter,51118
20,Uranus,distance_to_sun,2872.45
21,Uranus,temperature,-195
22,Neptune,diameter,49528
23,Neptune,distance_to_sun,4495.1
24,Neptune,temperature,-200
